platform_id,name,slug
187,PlayStation 5,playstation5
186,Xbox Series S/X,xbox-series-x
16,PlayStation 3,playstation3
4,PC,pc
18,PlayStation 4,playstation4
14,Xbox 360,xbox360
1,Xbox One,xbox-one
5,macOS,macos
7,Nintendo Switch,nintendo-switch
6,Linux,linux
21,Android,android
80,Xbox,xbox-old
19,PS Vita,ps-vita
3,iOS,ios
171,Web,web
10,Wii U,wii-u
8,Nintendo 3DS,nintendo-3ds
15,PlayStation 2,playstation2
106,Dreamcast,dreamcast
55,Classic Macintosh,macintosh
105,GameCube,gamecube
11,Wii,wii
9,Nintendo DS,nintendo-ds
83,Nintendo 64,nintendo-64
27,PlayStation,playstation1
107,SEGA Saturn,sega-saturn
24,Game Boy Advance,game-boy-advance
17,PSP,psp
13,Nintendo DSi,nintendo-dsi
166,Commodore / Amiga,commodore-amiga
43,Game Boy Color,game-boy-color
12,Neo Geo,neogeo
119,SEGA CD,sega-cd
41,Apple II,apple-ii
34,Atari ST,atari-st
74,SEGA Master System,sega-master-system
25,Atari 8-bit,atari-8-bit
49,NES,nes
26,Game Boy,game-boy
79,SNES,snes
112,Jaguar,jaguar
167,Genesis,genesis
111,3DO,3do
77,Game Gear,game-gear
117,SEGA 32X,sega-32x
